a,b,c,d
5.853708859717939,-1.0192911971491792,-7.280964166581182,0
-3.6862908752046586,-2.6171735340031876,-15.475695814113948,1
0.1327776552144364,4.913125892214046,-11.657493260770003,0
9.368222134751566,11.338010531427098,-4.0249269207599685,0
-2.4260934260408646,1.9382513823571283,-12.959698384188176,1
7.2064068066435,9.538530261490063,-14.906672320207004,0
-8.822978202597069,8.201109042051232,-7.224390312781502,1
-5.435079805907153,7.293682894661888,-5.332718348875556,1
1.5880346209869494,8.061218513852957,-9.01558381306362,0
-5.5793159950668825,7.614947648526687,-16.75835714216187,1
1.751517226638267,-1.060732054205915,-0.7785795335105554,0
-5.9053140010248235,12.797696298381833,-8.911446611380665,1
-8.375403513105041,7.575751392316084,-15.139547445308231,1
-7.2697210710746845,2.8966739131985513,-19.990577835577437,1
0.05487162474652507,-0.48641705801753155,-18.925025667541604,0
2.410009297880279,-2.8827737544719434,-6.501964596596775,0
-0.6846972954668331,-0.13732788135438323,-9.827551894595995,1
2.6540003192651795,6.202105827893744,2.138678120008418,0
4.7334258740728075,2.702052673516537,-14.9930524110924,0
-5.040974929092686,2.975154581316608,1.9656454329713995,0
9.758599149296032,1.746019086872077,2.5749169101970075,1
6.309884693038988,-0.0033107865093695565,2.491225775437268,1
8.819930774777887,14.645543689300283,-9.7488524182386,0
-7.9785632620101605,6.9759237883012215,-4.4082239196600135,1
5.209517946905857,12.493498607203904,-16.694762136195788,0
6.499351126844587,5.647132976093239,-9.729892657877851,0
8.857392006483927,11.618371074830304,-14.139101191859368,0
-7.271501966767477,9.911115328920967,4.822066845074225,0
-2.3755801581131086,-3.3871679451732573,-11.19784208205883,1
-3.7141294244886662,11.926404156872941,-5.413380115575906,0
-2.6735811684586714,12.451718068865333,-9.683368168644787,0
-7.126567546078533,11.355052972469625,-6.441646660348518,1
-9.217417567766528,13.36890230784109,-3.551948295504978,0
0.4152358438104713,-1.1374493256799734,-7.363949408508557,0
-8.765802448619679,-3.7991505148453086,-0.35674638631385847,0
4.353469246879946,0.9253962886262261,-4.462197862012495,0
6.236201394180789,1.8091628762954048,-18.78146853579276,0
9.637890332531665,-3.422199926198042,-9.0658718404967,0
4.962892736833144,-2.5549857549206023,-7.981042883788685,0
-8.81033623288798,5.50904685074741,-7.807611371887889,1
6.56563223741005,10.497327275267489,3.8340637243924327,0
3.6765135969671743,14.241846897635504,-5.0489013474917375,0
9.060466826227398,14.479579398938597,-1.1825723722887567,0
-9.14250567244471,-3.165041593018554,-4.697842026899686,1
